,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs
22896,212007348, 132.748674, 20.376132, 10.282, GO16009_LC|GO16021_LC|GO16028_LC
32932,251351983, 140.058952, 21.243999, 10.283, GO16004_LC|GO16020_LC|GO16028_LC|GO16052_LC
20026,211899274, 135.610879, 18.715904, 10.283, GO16021_LC|GO16028_LC
26254,212108455, 135.709205, 22.188147, 10.284, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
23953,212038083, 132.837738, 20.890027, 10.284, GO16001_LC|GO16021_LC|GO16028_LC
19620,211884463, 130.381426, 18.500621, 10.284, GO16009_LC|GO16021_LC|GO16022_LC|GO16028_LC|GO16031_LC|GO16060_LC
25841,212095482, 135.108281, 21.9335, 10.284, GO16021_LC|GO16028_LC
31408,251311048, 139.628888, 17.724254, 10.285, GO16021_LC|GO16028_LC
29407,212222056, 131.755087, 25.023755, 10.286, GO16052_LC
16376,211757642, 130.990788, 16.715534, 10.287, GO16052_LC
34519,251398933, 137.297639, 24.722076, 10.287, GO16028_LC|GO16052_LC
18420,211848445, 131.782824, 17.99647, 10.291, GO16021_LC|GO16028_LC|GO16071_LC
11876,211618401, 131.823686, 14.791462, 10.291, GO16052_LC
26437,212114192, 127.425958, 22.301915, 10.294, GO16052_LC
8615,211487550, 131.47963, 12.959015, 10.294, GO16052_LC
8280,211470013, 129.683921, 12.704199, 10.294, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
23128,212015151, 128.584468, 20.506194, 10.296, GO16004_LC|GO16028_LC|GO16052_LC
13325,211661298, 131.251429, 15.389257, 10.296, GO16052_LC
24394,212050175, 127.231688, 21.101924, 10.296, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
27663,212174613, 130.5911, 23.5979, 10.296, GO16009_LC|GO16021_LC|GO16028_LC
16685,211794606, 136.780214, 17.24001, 10.297, GO16021_LC|GO16028_LC
30603,251289234, 140.09298, 15.44351, 10.298, GO16021_LC|GO16028_LC|GO16033_LC|GO16083_LC
33258,251358265, 139.521087, 21.770735, 10.3, GO16052_LC
18294,211845008, 130.861615, 17.949719, 10.302, GO16052_LC
10296,211538059, 134.614395, 13.674589, 10.309, GO16004_LC|GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
18082,211839384, 130.057893, 17.873681, 10.309, GO16009_LC|GO16021_LC|GO16028_LC
11028,211580757, 138.474786, 14.274425, 10.309, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
19457,211878666, 131.588442, 18.416931, 10.309, GO16052_LC
27074,212157911, 134.828608, 23.207508, 10.31, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
17573,211825189, 133.312015, 17.674445, 10.312, GO16021_LC|GO16028_LC
24843,212066009, 136.707776, 21.383832, 10.313, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
7700,211450957, 136.252553, 12.414503, 10.315, GO16021_LC|GO16083_LC
18980,211864473, 129.872278, 18.219318, 10.315, GO16004_LC|GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
34877,251405413, 138.446246, 25.099999, 10.318, GO16052_LC
7863,211455730, 131.085629, 12.487065, 10.319, GO16052_LC
